,,,,,,,,,,,
0,CombatZonePoint,320,310,,,,,,,,
0,CombatZoneResize,239,229,401,391,TLResume,,,,,
0,HeartTeleport,320,310,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,TLPause,,,,,,,,,,
0,SET,Loop,8,,,,,,,,
0,JMPZ,28,$Loop,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,
0,RND,Direction,4,,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,,
0,JMPREL,$Jump,,,,,,,,,
0,JMPREL,4,,,,,,,,,
0,JMPREL,5,,,,,,,,,
0,JMPREL,6,,,,,,,,,
0,JMPREL,7,,,,,,,,,
0,SansTorso,HandRight,,,,,,,,,
0,JMPREL,7,,,,,,,,,
0,SansTorso,handDown,,,,,,,,,
0,JMPREL,5,,,,,,,,,
0,SansTorso,HandLeft,,,,,,,,,
0,JMPREL,3,,,,,,,,,
0,SansTorso,handUp,,,,,,,,,
0,JMPREL,1,,,,,,,,,
0.2,SansSlam,$Direction,,,,,,,,,
0,Attack5,$Direction,,,,,,,,,
0.3,JMPABS,8,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,SansTorso,HandLeft,,,,,,,,,
0.2,SansSlam,2,,,,,,,,,
0.3,SansTorso,HandRight,,,,200,330,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,,,
0,SansSlam,0,,,,,,,,,
0,Combatzonefinal,239,229,401,391,,,,,,
0,TLPause,,,,,,,,,,
0.1,SineBonesV2,49,60,900,34,49,30,30,,,
,,,,,,,,,,,
0,BoneRepeat,ÅgÅh,3830,328,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,4160,292,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,4490,328,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,4820,292,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,5150,328,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,5480,292,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,5810,328,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,6140,292,74,270,180,900,0,3,15
0,BoneRepeat,ÅgÅh,6470,328,74,270,180,900,0,3,15
,,,,,,,,,,,
,,,,,,,,,,,
0,SET,X,6800,,,,,,,,
0,SET,I,0,,,,,,,,
0,MUL,X2,$I,30,,,,,,,
0,ADD,X2,$X2,$X,,,,,,,
0,ADD,H,25,$I,,,,,,,
0,Bone,T,$X2,249,$H,0,180,900,,,
0,SUB,Y,361,$H,,,,,,,
0,Bone,T,$X2,$Y,$H,0,180,900,,,
0,ADD,I,$I,2,,,,,,,
0,JMPL,52,$I,24,,,,,,,
,,,,,,,,,,,
8.5,CombatZoneSpeed,900,,,,,,,,,
0,CombatZoneResize,-10,249,410,371,TLResume,,,,,
0,TLPause,,,,,,,,,,
0,HeartMaxFallSpeed,900,15,,,,,,,,
0,SansSlam,0,,,,,,,,,
,,,,,,,,,,,
0,Attack52,,,,,,,,,,
0.6,BoneStab,0,20,0.1,0,,,,,,
0,BoneStab,0,60,0.65,10,,,,,,
0.45,SansTorso,handleft,,,,,,,,,
1,BlackScreen,1,,,,,,,,,
0,sound,flash,,,,,,,,,
0.2,BlackScreen,0,,,,,,,,,
0,sound,flash,,,,,,,,,
0,SansX,320,,,,,,,,,
0,CombatZoneResizeinstant,33,251,608,391,,,,,,
0,Endattack,,,,,,,,,,
