0,CombatZoneResize,155,251,485,391,TLResume,,,,,,
0,HeartTeleport,320,378,,,,,,,,,
0,HeartMode,1,,,,,,,,,,
0,TLPause,,,,,,,,,,,
,,,,,,,,,,,,
0,BoneRepeat,T,500,251,60,180,180,180,0,9,250,
0,BoneRepeat,B,500,391,60,180,180,180,0,9,250,
0,BoneRepeat,ÅgÅh,550,321,130,270,180,180,0,9,250,1
0,BoneRepeat,ÅgÅh,600,321,100,270,180,180,0,9,250,
0,BoneRepeat,T,650,251,35,180,180,180,0,9,250,
0,BoneRepeat,B,650,391,35,180,180,180,0,9,250,
0,BoneRepeat,ÅgÅh,650,320,60,180,180,180,0,9,250,
,,,,,,,,,,,,
0,BoneRepeat,ÅgÅh,700,321,130,270,180,180,0,9,250,2
,,,,,,,,,,,,
2,SansSlam,3,,,,,,,,,,
0,Sanstorso,HandUp,,,,,,,,,,
,,,,,,,,,,,,
2,SansSlam,1,,,,,,,,,,
0,Sanstorso,HandDown,,,,,,,,,,
,,,,,,,,,,,,
2,SansSlam,3,,,,,,,,,,
0,Sanstorso,HandUp,,,,,,,,,,
,,,,,,,,,,,,
2,SansSlam,1,,,,,,,,,,
0,Sanstorso,HandDown,,,,,,,,,,
,,,,,,,,,,,,
2,SansSlam,3,,,,,,,,,,
0,Sanstorso,HandUp,,,,,,,,,,
,,,,,,,,,,,,
2,SansSlam,1,,,,,,,,,,
0,Sanstorso,HandDown,,,,,,,,,,
,,,,,,,,,,,,
1,CombatZoneSpeed,200,,,,,,,,,,
0,CombatZoneResize,250,251,390,391,,,,,,,
,,,,,,,,,,,,
0.6,SET,Loop,10,,,,,,,,,
0,JMPZ,58,$Loop,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,
0,RND,Direction,4,,,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,,,
0,JMPREL,$Jump,,,,,,,,,,
0,JMPREL,4,,,,,,,,,,
0,JMPREL,5,,,,,,,,,,
0,JMPREL,6,,,,,,,,,,
0,JMPREL,7,,,,,,,,,,
0,SansTorso,HandRight,,,,,,,,,,
0,JMPREL,7,,,,,,,,,,
0,SansTorso,handDown,,,,,,,,,,
0,JMPREL,5,,,,,,,,,,
0,SansTorso,HandLeft,,,,,,,,,,
0,JMPREL,3,,,,,,,,,,
0,SansTorso,handUp,,,,,,,,,,
0,JMPREL,1,,,,,,,,,,
0.2,SansSlam,$Direction,,,,,,,,,,
0.2,BoneStab,$Direction,60,0.2,0,,,,,,,
0.2,JMPABS,38,,,,,,,,,,
0.8,EndAttack,,,,,,,,,,,
