0,CombatZoneResize,133,251,508,391,TLResume,,,,,
0,HeartTeleport,320,378,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,TLPause,,,,,,,,,,
0,PlatformRepeat,60,296,120,0,0,100,20,240,,
0,PlatformRepeat,580,345,100,0,180,100,20,200,,
0,BoneRepeat,T,540,251,20,0,180,100,0,40,60
0,BoneRepeat,B,100,391,20,0,0,100,0,40,60
0,Attack61,,,,,,,,,,
0,SET,Loop,30,,,,,,,,
0,JMPZ,22,$Loop,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,
0,RND,Jump,2,,,,,,,,
0,ADD,Jump,$Jump,1,,,,,,,
0,JMPREL,$Jump,,,,,,,,,
0,JMPREL,2,,,,,,,,,
0,JMPREL,3,,,,,,,,,
0,Bone,B,540,391,36,0,180,130,0,,
0.5,JMPABS,11,,,,,,,,,
0,Bone,T,100,251,36,0,0,130,0,,
0.5,JMPABS,11,,,,,,,,,
