0,CombatZoneResize,150,231,490,391,TLResume,,,,,,,
0,HeartTeleport,320,378,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
0,Attack7,,,,,,,,,,,,
0,Platform,80,350,28,0,0,80,1,,,,,
0.8,BoneRepeat,ÅgÅh,320,200,40,270,90,150,0,33,60,,1
0,BoneRepeat,ÅgÅh,275,422,50,270,270,150,0,20,100,,1
0,BoneRepeat,ÅgÅh,365,422,50,270,270,150,0,20,100,,1
0,BoneRepeat,ÅgÅh,230,200,25,270,90,150,0,40,50,,1
0,BoneRepeat,ÅgÅh,410,200,25,270,90,150,0,40,50,,1
14.5,Attack71,,,,,,,,,,,,
0,Sound,BoneStab,,,,,,,,,,,
2.5,Endattack,,,,,,,,,,,,
