0,CombatZoneResize,155,251,485,391,TLResume,,,,,,,
0,HeartTeleport,320,321,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
,,,,,,,,,,,,,
0,Attack45,,,,,,,,,,,,
0.25,Attack45,,,,,,,,,,,,
0.25,Attack45,,,,,,,,,,,,
0.25,Attack45,,,,,,,,,,,,
0.25,Attack45,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,CombatZoneResize,155,351,485,391,,,,,,,,
0,Attack40,,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,
0,SansTorso,handDown,,,,,,,,,,,
0.2,SansAnimation,Idle,,,,,,,,,,,
0,SansTorso,Default,,,,,,,,,,,
,,,,,,,,,,,,,
0,Attack44,,,,,,,,,,,,
0.6,Attack44,,,,,,,,,,,,
0.6,Attack44,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.6,Bone,ÅgÅh,500,371,30,270,180,150,0,,,,
0,Bone,ÅgÅh,140,371,30,270,0,150,0,,,,
0,Bone,ÅgÅh,512,371,30,270,180,150,0,,,,
0,Bone,ÅgÅh,128,371,30,270,0,150,0,,,,
1,CombatZoneResize,155,102,485,391,,,,,,,,
0,Attack41,,,,,,,,,,,,
0,SansX,80,,,,,,,,,,,
,,,,,,,,,,,,,
0,SansBody,Default,,,,,,,,,,,
0,BoneRepeat,ÅgÅh,320,324,43,270,180,100,0,50,120,,
0,BoneRepeat,ÅgÅh,320,272,43,270,0,100,0,50,120,,
0,BoneRepeat,ÅgÅh,320,220,43,270,180,100,0,50,120,,
0,BoneRepeat,ÅgÅh,320,168,43,270,0,100,0,50,120,,
0,platform,320,350,40,0,0,0,1,0,0,90,100,0
0,platform,320,298,40,0,0,0,1,0,0,90,100,1
0,platform,320,246,40,0,0,0,1,0,0,90,100,2
0,platform,320,194,40,0,0,0,1,0,0,90,100,3
0,platform,320,142,40,0,0,0,1,0,0,90,100,4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.8,Bonestab,3,30,0.6,200,,,,,,,,
0,Bonestab,1,30,0.6,200,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,sound,ding,,,,,,,,,,,
0.5,sound,ding,,,,,,,,,,,
0.5,SansSlam,3,,,,,,,,,,,
0,SansTorso,handUp,,,,,,,,,,,
0,Attack42,,,,,,,,,,,,
2,sound,ding,,,,,,,,,,,
0.5,sound,ding,,,,,,,,,,,
0.5,SansSlam,1,,,,,,,,,,,
0,SansTorso,handDown,,,,,,,,,,,
0,Attack43,,,,,,,,,,,,
2,sound,ding,,,,,,,,,,,
0.5,sound,ding,,,,,,,,,,,
0.5,SansSlam,3,,,,,,,,,,,
0,SansTorso,handUp,,,,,,,,,,,
0,Attack42,,,,,,,,,,,,
,,,,,,,,,,,,,
2,sound,ding,,,,,,,,,,,
0.5,sound,ding,,,,,,,,,,,
0.5,SansSlam,1,,,,,,,,,,,
0,SansTorso,handDown,,,,,,,,,,,
0,Attack43,,,,,,,,,,,,
,,,,,,,,,,,,,
3,BlackScreen,1,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,
0.15,BlackScreen,0,,,,,,,,,,,
0,sound,flash,,,,,,,,,,,
0,SansX,320,,,,,,,,,,,
0,CombatZoneResizeinstant,33,251,608,391,,,,,,,,
0,TLResume,,,,,,,,,,,,
0,Endattack,,,,,,,,,,,,
